,c_ul,c_ur,c_lr,c_ll
p_0_0,"(14, 14)","(134, 14)","(130, 118)","(14, 116)"
p_0_1,"(11, 38)","(127, 40)","(125, 131)","(11, 137)"
p_0_2,"(12, 18)","(126, 12)","(131, 116)","(12, 122)"
p_0_3,"(12, 36)","(131, 30)","(126, 128)","(12, 131)"
p_0_4,"(14, 40)","(128, 37)","(133, 134)","(14, 142)"
p_0_5,"(12, 20)","(131, 12)","(135, 119)","(12, 118)"
p_0_6,"(12, 19)","(135, 20)","(134, 124)","(12, 118)"
p_0_7,"(13, 43)","(135, 49)","(130, 148)","(13, 146)"
p_0_8,"(14, 14)","(131, 16)","(133, 109)","(14, 111)"
p_0_9,"(13, 21)","(132, 19)","(131, 122)","(13, 122)"
p_1_0,"(16, 12)","(136, 12)","(138, 111)","(12, 116)"
p_1_1,"(44, 28)","(170, 23)","(176, 121)","(42, 119)"
p_1_2,"(32, 41)","(166, 43)","(157, 144)","(37, 145)"
p_1_3,"(43, 36)","(163, 35)","(162, 141)","(38, 134)"
p_1_4,"(12, 12)","(136, 19)","(130, 115)","(17, 109)"
p_1_5,"(36, 38)","(149, 44)","(156, 144)","(40, 145)"
p_1_6,"(41, 18)","(157, 17)","(155, 118)","(40, 122)"
p_1_7,"(21, 36)","(136, 32)","(134, 128)","(16, 135)"
p_1_8,"(12, 30)","(130, 23)","(130, 127)","(14, 123)"
p_1_9,"(19, 16)","(135, 20)","(136, 119)","(18, 119)"
p_2_0,"(40, 14)","(161, 14)","(157, 116)","(42, 113)"
p_2_1,"(12, 12)","(127, 15)","(127, 115)","(18, 110)"
p_2_2,"(23, 34)","(132, 39)","(131, 135)","(14, 135)"
p_2_3,"(37, 19)","(154, 19)","(161, 123)","(36, 125)"
p_2_4,"(38, 19)","(163, 17)","(159, 115)","(32, 115)"
p_2_5,"(38, 44)","(165, 44)","(161, 147)","(45, 144)"
p_2_6,"(44, 44)","(160, 47)","(166, 141)","(42, 145)"
p_2_7,"(40, 21)","(164, 17)","(161, 119)","(38, 117)"
p_2_8,"(44, 17)","(167, 19)","(174, 124)","(44, 121)"
p_2_9,"(13, 13)","(143, 16)","(136, 112)","(14, 112)"
p_3_0,"(45, 15)","(165, 15)","(164, 115)","(41, 117)"
p_3_1,"(30, 18)","(153, 16)","(157, 114)","(30, 118)"
p_3_2,"(14, 17)","(141, 13)","(142, 110)","(13, 113)"
p_3_3,"(43, 39)","(172, 36)","(163, 140)","(50, 143)"
p_3_4,"(18, 17)","(131, 14)","(129, 115)","(14, 115)"
p_3_5,"(21, 41)","(136, 41)","(146, 145)","(17, 144)"
p_3_6,"(33, 14)","(162, 15)","(156, 109)","(39, 108)"
p_3_7,"(16, 14)","(133, 15)","(129, 110)","(13, 116)"
p_3_8,"(16, 38)","(132, 32)","(137, 142)","(23, 143)"
p_3_9,"(37, 21)","(151, 20)","(155, 117)","(30, 117)"
p_4_0,"(31, 13)","(149, 13)","(149, 111)","(30, 113)"
p_4_1,"(29, 36)","(148, 34)","(148, 128)","(33, 134)"
p_4_2,"(32, 37)","(147, 31)","(147, 142)","(33, 134)"
p_4_3,"(48, 14)","(162, 22)","(162, 115)","(39, 118)"
p_4_4,"(20, 19)","(143, 16)","(143, 123)","(18, 120)"
p_4_5,"(12, 35)","(137, 38)","(137, 138)","(22, 139)"
p_4_6,"(39, 15)","(154, 14)","(154, 110)","(33, 109)"
p_4_7,"(16, 17)","(137, 18)","(137, 118)","(12, 112)"
p_4_8,"(38, 14)","(163, 20)","(163, 125)","(43, 124)"
p_4_9,"(13, 40)","(133, 41)","(133, 137)","(17, 137)"
