,c_ul,c_ur,c_lr,c_ll
p_0_0,"(24, 24)","(266, 24)","(270, 207)","(24, 208)"
p_0_1,"(24, 69)","(270, 68)","(265, 252)","(24, 254)"
p_0_2,"(24, 37)","(265, 35)","(265, 215)","(24, 205)"
p_0_3,"(28, 73)","(269, 83)","(271, 266)","(28, 270)"
p_0_4,"(28, 43)","(271, 39)","(269, 225)","(28, 215)"
p_0_5,"(26, 32)","(267, 42)","(276, 217)","(26, 223)"
p_0_6,"(27, 86)","(277, 80)","(263, 256)","(27, 262)"
p_0_7,"(27, 90)","(263, 84)","(267, 276)","(27, 276)"
p_0_8,"(25, 25)","(265, 25)","(263, 209)","(25, 208)"
p_0_9,"(27, 29)","(265, 30)","(277, 209)","(27, 211)"
p_0_10,"(29, 87)","(279, 85)","(271, 272)","(29, 265)"
p_0_11,"(24, 24)","(266, 31)","(269, 209)","(24, 211)"
p_0_12,"(24, 99)","(269, 97)","(268, 277)","(24, 285)"
p_0_13,"(28, 42)","(272, 34)","(272, 221)","(28, 214)"
p_0_14,"(29, 32)","(273, 39)","(271, 226)","(29, 221)"
p_0_15,"(25, 90)","(267, 95)","(275, 274)","(25, 276)"
p_0_16,"(25, 28)","(275, 26)","(274, 206)","(25, 209)"
p_0_17,"(25, 70)","(274, 67)","(265, 253)","(25, 251)"
p_0_18,"(25, 30)","(265, 32)","(267, 212)","(25, 212)"
p_0_19,"(27, 32)","(269, 32)","(270, 207)","(27, 216)"
p_0_20,"(28, 83)","(271, 74)","(272, 261)","(28, 264)"
p_0_21,"(24, 38)","(268, 35)","(267, 223)","(24, 220)"
p_0_22,"(27, 27)","(270, 30)","(268, 203)","(27, 208)"
p_0_23,"(29, 82)","(270, 77)","(275, 260)","(29, 258)"
p_0_24,"(30, 78)","(276, 80)","(274, 270)","(30, 270)"
p_0_25,"(24, 82)","(268, 82)","(268, 261)","(24, 259)"
p_0_26,"(24, 24)","(268, 26)","(267, 208)","(24, 203)"
p_0_27,"(28, 77)","(271, 82)","(263, 265)","(28, 261)"
p_0_28,"(27, 75)","(262, 79)","(273, 262)","(27, 264)"
p_0_29,"(25, 93)","(271, 91)","(273, 274)","(25, 274)"
p_1_0,"(71, 31)","(301, 31)","(316, 210)","(75, 214)"
p_1_1,"(77, 92)","(318, 88)","(321, 276)","(72, 276)"
p_1_2,"(84, 83)","(333, 83)","(333, 262)","(84, 263)"
p_1_3,"(29, 86)","(278, 85)","(273, 267)","(31, 269)"
p_1_4,"(31, 98)","(273, 96)","(274, 272)","(29, 284)"
p_1_5,"(38, 93)","(283, 81)","(282, 267)","(47, 268)"
p_1_6,"(44, 95)","(279, 94)","(283, 288)","(30, 271)"
p_1_7,"(36, 76)","(289, 93)","(290, 267)","(40, 268)"
p_1_8,"(69, 101)","(319, 100)","(312, 285)","(67, 285)"
p_1_9,"(36, 33)","(281, 33)","(288, 217)","(48, 212)"
p_1_10,"(36, 32)","(276, 37)","(273, 212)","(28, 219)"
p_1_11,"(69, 44)","(314, 37)","(307, 222)","(72, 222)"
p_1_12,"(53, 26)","(288, 26)","(293, 208)","(52, 206)"
p_1_13,"(25, 67)","(266, 69)","(267, 260)","(25, 254)"
p_1_14,"(32, 28)","(274, 34)","(277, 217)","(30, 215)"
p_1_15,"(61, 66)","(308, 68)","(308, 245)","(69, 245)"
p_1_16,"(66, 80)","(305, 80)","(300, 261)","(65, 260)"
p_1_17,"(73, 44)","(308, 45)","(301, 226)","(64, 230)"
p_1_18,"(56, 33)","(293, 29)","(299, 212)","(58, 213)"
p_1_19,"(32, 36)","(273, 35)","(272, 222)","(33, 211)"
p_1_20,"(28, 62)","(267, 73)","(275, 248)","(29, 249)"
p_1_21,"(83, 90)","(329, 89)","(320, 283)","(82, 278)"
p_1_22,"(30, 82)","(268, 87)","(271, 266)","(28, 255)"
p_1_23,"(29, 35)","(272, 46)","(279, 220)","(34, 218)"
p_1_24,"(30, 85)","(275, 87)","(268, 272)","(28, 275)"
p_1_25,"(73, 81)","(313, 78)","(312, 268)","(73, 260)"
p_1_26,"(73, 28)","(312, 36)","(313, 216)","(72, 210)"
p_1_27,"(36, 28)","(277, 34)","(275, 212)","(28, 211)"
p_1_28,"(24, 37)","(271, 38)","(272, 225)","(35, 220)"
p_1_29,"(72, 87)","(309, 92)","(308, 270)","(74, 270)"
p_2_0,"(26, 26)","(283, 26)","(289, 210)","(41, 205)"
p_2_1,"(65, 28)","(313, 33)","(305, 218)","(68, 216)"
p_2_2,"(23, 28)","(260, 30)","(261, 215)","(23, 207)"
p_2_3,"(34, 30)","(272, 38)","(281, 210)","(29, 212)"
p_2_4,"(25, 68)","(277, 66)","(275, 251)","(26, 244)"
p_2_5,"(29, 28)","(278, 35)","(278, 228)","(28, 214)"
p_2_6,"(25, 27)","(275, 41)","(272, 214)","(29, 221)"
p_2_7,"(25, 81)","(268, 74)","(263, 246)","(26, 255)"
