,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"('p_0_0', 0)","('p_0_1', 0)","('p_0_2', 0)","('p_0_3', 0)","('p_0_4', 0)","('p_0_5', 0)","('p_0_6', 0)","('p_0_7', 0)","('p_0_8', 0)","('p_0_9', 0)","('p_0_10', 0)","('p_0_11', 0)","('p_0_12', 0)","('p_0_13', 0)","('p_0_14', 0)","('p_0_15', 0)","('p_0_16', 0)","('p_0_17', 0)","('p_0_18', 0)","('p_0_19', 0)","('p_0_20', 0)","('p_0_21', 0)","('p_0_22', 0)","('p_0_23', 0)","('p_0_24', 0)","('p_0_25', 0)","('p_0_26', 0)","('p_0_27', 0)","('p_0_28', 0)","('p_0_29', 0)"
1,"('p_1_0', 0)","('p_1_1', 0)","('p_1_2', 0)","('p_1_3', 0)","('p_1_4', 0)","('p_1_5', 0)","('p_1_6', 0)","('p_1_7', 0)","('p_1_8', 0)","('p_1_9', 0)","('p_1_10', 0)","('p_1_11', 0)","('p_1_12', 0)","('p_1_13', 0)","('p_1_14', 0)","('p_1_15', 0)","('p_1_16', 0)","('p_1_17', 0)","('p_1_18', 0)","('p_1_19', 0)","('p_1_20', 0)","('p_1_21', 0)","('p_1_22', 0)","('p_1_23', 0)","('p_1_24', 0)","('p_1_25', 0)","('p_1_26', 0)","('p_1_27', 0)","('p_1_28', 0)","('p_1_29', 0)"
2,"('p_2_0', 0)","('p_2_1', 0)","('p_2_2', 0)","('p_2_3', 0)","('p_2_4', 0)","('p_2_5', 0)","('p_2_6', 0)","('p_2_7', 0)","('p_2_8', 0)","('p_2_9', 0)","('p_2_10', 0)","('p_2_11', 0)","('p_2_12', 0)","('p_2_13', 0)","('p_2_14', 0)","('p_2_15', 0)","('p_2_16', 0)","('p_2_17', 0)","('p_2_18', 0)","('p_2_19', 0)","('p_2_20', 0)","('p_2_21', 0)","('p_2_22', 0)","('p_2_23', 0)","('p_2_24', 0)","('p_2_25', 0)","('p_2_26', 0)","('p_2_27', 0)","('p_2_28', 0)","('p_2_29', 0)"
3,"('p_3_0', 0)","('p_3_1', 0)","('p_3_2', 0)","('p_3_3', 0)","('p_3_4', 0)","('p_3_5', 0)","('p_3_6', 0)","('p_3_7', 0)","('p_3_8', 0)","('p_3_9', 0)","('p_3_10', 0)","('p_3_11', 0)","('p_3_12', 0)","('p_3_13', 0)","('p_3_14', 0)","('p_3_15', 0)","('p_3_16', 0)","('p_3_17', 0)","('p_3_18', 0)","('p_3_19', 0)","('p_3_20', 0)","('p_3_21', 0)","('p_3_22', 0)","('p_3_23', 0)","('p_3_24', 0)","('p_3_25', 0)","('p_3_26', 0)","('p_3_27', 0)","('p_3_28', 0)","('p_3_29', 0)"
4,"('p_4_0', 0)","('p_4_1', 0)","('p_4_2', 0)","('p_4_3', 0)","('p_4_4', 0)","('p_4_5', 0)","('p_4_6', 0)","('p_4_7', 0)","('p_4_8', 0)","('p_4_9', 0)","('p_4_10', 0)","('p_4_11', 0)","('p_4_12', 0)","('p_4_13', 0)","('p_4_14', 0)","('p_4_15', 0)","('p_4_16', 0)","('p_4_17', 0)","('p_4_18', 0)","('p_4_19', 0)","('p_4_20', 0)","('p_4_21', 0)","('p_4_22', 0)","('p_4_23', 0)","('p_4_24', 0)","('p_4_25', 0)","('p_4_26', 0)","('p_4_27', 0)","('p_4_28', 0)","('p_4_29', 0)"
5,"('p_5_0', 0)","('p_5_1', 0)","('p_5_2', 0)","('p_5_3', 0)","('p_5_4', 0)","('p_5_5', 0)","('p_5_6', 0)","('p_5_7', 0)","('p_5_8', 0)","('p_5_9', 0)","('p_5_10', 0)","('p_5_11', 0)","('p_5_12', 0)","('p_5_13', 0)","('p_5_14', 0)","('p_5_15', 0)","('p_5_16', 0)","('p_5_17', 0)","('p_5_18', 0)","('p_5_19', 0)","('p_5_20', 0)","('p_5_21', 0)","('p_5_22', 0)","('p_5_23', 0)","('p_5_24', 0)","('p_5_25', 0)","('p_5_26', 0)","('p_5_27', 0)","('p_5_28', 0)","('p_5_29', 0)"
6,"('p_6_0', 0)","('p_6_1', 0)","('p_6_2', 0)","('p_6_3', 0)","('p_6_4', 0)","('p_6_5', 0)","('p_6_6', 0)","('p_6_7', 0)","('p_6_8', 0)","('p_6_9', 0)","('p_6_10', 0)","('p_6_11', 0)","('p_6_12', 0)","('p_6_13', 0)","('p_6_14', 0)","('p_6_15', 0)","('p_6_16', 0)","('p_6_17', 0)","('p_6_18', 0)","('p_6_19', 0)","('p_6_20', 0)","('p_6_21', 0)","('p_6_22', 0)","('p_6_23', 0)","('p_6_24', 0)","('p_6_25', 0)","('p_6_26', 0)","('p_6_27', 0)","('p_6_28', 0)","('p_6_29', 0)"
7,"('p_7_0', 0)","('p_7_1', 0)","('p_7_2', 0)","('p_7_3', 0)","('p_7_4', 0)","('p_7_5', 0)","('p_7_6', 0)","('p_7_7', 0)","('p_7_8', 0)","('p_7_9', 0)","('p_7_10', 0)","('p_7_11', 0)","('p_7_12', 0)","('p_7_13', 0)","('p_7_14', 0)","('p_7_15', 0)","('p_7_16', 0)","('p_7_17', 0)","('p_7_18', 0)","('p_7_19', 0)","('p_7_20', 0)","('p_7_21', 0)","('p_7_22', 0)","('p_7_23', 0)","('p_7_24', 0)","('p_7_25', 0)","('p_7_26', 0)","('p_7_27', 0)","('p_7_28', 0)","('p_7_29', 0)"
8,"('p_8_0', 0)","('p_8_1', 0)","('p_8_2', 0)","('p_8_3', 0)","('p_8_4', 0)","('p_8_5', 0)","('p_8_6', 0)","('p_8_7', 0)","('p_8_8', 0)","('p_8_9', 0)","('p_8_10', 0)","('p_8_11', 0)","('p_8_12', 0)","('p_8_13', 0)","('p_8_14', 0)","('p_8_15', 0)","('p_8_16', 0)","('p_8_17', 0)","('p_8_18', 0)","('p_8_19', 0)","('p_8_20', 0)","('p_8_21', 0)","('p_8_22', 0)","('p_8_23', 0)","('p_8_24', 0)","('p_8_25', 0)","('p_8_26', 0)","('p_8_27', 0)","('p_8_28', 0)","('p_8_29', 0)"
9,"('p_9_0', 0)","('p_9_1', 0)","('p_9_2', 0)","('p_9_3', 0)","('p_9_4', 0)","('p_9_5', 0)","('p_9_6', 0)","('p_9_7', 0)","('p_9_8', 0)","('p_9_9', 0)","('p_9_10', 0)","('p_9_11', 0)","('p_9_12', 0)","('p_9_13', 0)","('p_9_14', 0)","('p_9_15', 0)","('p_9_16', 0)","('p_9_17', 0)","('p_9_18', 0)","('p_9_19', 0)","('p_9_20', 0)","('p_9_21', 0)","('p_9_22', 0)","('p_9_23', 0)","('p_9_24', 0)","('p_9_25', 0)","('p_9_26', 0)","('p_9_27', 0)","('p_9_28', 0)","('p_9_29', 0)"
